x,y,sign
PW68,PW6.8,AD-1
FL6.0+A6.0+FL5.0(low-e),LowE5+A6+FL6,AD-1
FL6.0+A6.0+FL5.0(low-e),LowE5+A6+FL6,AD-1
複層ガラス:(外)網入透明ガラス0684A6+透明ガラス05.O17,PW6.8+A6+FL5,AD-1
合せガラスFL4.0+30ml1乳白色+FL4.O,FL5+FL5(乳白30),AD-2
LowE5.0+A6+PA6.0,LowE5+A6+F6K,AD-2
複層ガラス:(外)透明ガラス06.0+AG+(内)合せガラス(透明03.0+透明03.0Ⅱ1類中間膜30miL),FL6+A6+(FL3+FL3)(30),AD-2
複層ガラス:(外)型板ガラス06.0+A6+(内)透明ガラス05.0,F6K+A6+FL5,AD-3
FL6.0IF寮室は防犯ガラス,PW6.8,AW-1A
複層ガラスFL6-A64耐熱6.5,LowE6+A6+FR6.5,AW-1A
複層ガラスFL6-A64耐熱6.5,LowE6+A6+FR6.5,AW-1A
複層ガラスFL6-A64耐熱6.5,LowE6+A6+FR6.5,AW-1A
複層ガラスFL6-A64耐熱6.5,LowE6+A6+FR6.5,AW-1A
PWG6.8(内部),PW6.8,SD-10
PWG6.8(内部),PW6.8,SD-10
TP6.0,PT10,SD-10
PW6.8,PW6.8,SD-10
合わせガラス(透明03.0+透明。3.0),FL3+FL3(30)s,SD-10
PWG6.8(内部),PW6.8,SD-10
FR6.0+TP4.0,FR6.5+PT4(60),SD-2
PW6.8,PW6.8,SD-2
PW6.8,PW6.8,SD-2
FL3.O+中間膜30miItFL3.0(防犯ガラス),FL3+FL3(30),SD-2
網入りガラスPW6.8,PW6.8,SD-2
網入り透明ガラスt6.8,PW6.8,SD-2
網入り透明ガラスt6.8,PW6.8,SD-2
TP6.0,PT6,SD-3
網入り透明ガラスt6.8,PW6.8,SD-3
網入り透明ガラスt6.8,PW6.8,SD-3
網入り透明ガラスt6.8,PW6.8,SD-4
網入り透明ガラスt6.8,PW6.8,SD-4
透明耐熱強化ガラス06.5(飛散防止フィルム),FR6.5,SD-5
網入り透明ガラスt6.8,PW6.8,SD-5
網入り透明ガラスt6.8,PW6.8,SD-5
耐熱強化ガラス,FR5,SD-5
TP6.0浮白色フィルム貼,PT6,SD-6
合わせガラス(透明03.0+透明。3.0),FL3+FL3(30),SD-6
網入り透明ガラスt6.8,PW6.8,SD-6
網入り透明ガラスt6.8,PW6.8,SD-6
耐熱強化ガラスt8,FR8,SD-7
耐熱強化ガラスt=5,FR5,SD-7
合わせガラス(透明03.0+透明03.0),FL3+FL3(30),SD-7
網入り透明ガラスt6.8,PW6.8,SD-7
網入り透明ガラスt6.8,PW6.8,SD-7
PWG68(内部),PW6.8,SD-7
PW6.8,PW6.8,SD-8
合わせガラス(透明03.0+透明03.0),FL3+FL3(30),SD-8
網入り透明ガラスt6.8,PW6.8,SD-8
網入り透明ガラスt6.8,PW6.8,SD-8
PWG68(内部),PW6.8,SD-8
PWG6.8(内部),PW6.8,SD-9
PWG6.8(内部),PW6.8,SD-9
合わせガラス(透明O3D+透明03.O),FL3+FL3(30),SD-9
網入り透明ガラスt6.8,PW6.8,SD-9
網入り透明ガラスt6.8,PW6.8,SD-9
PWG68(内部),PW6.8,SD-9
TP10.0,PT10,SSD-1
TP8.O+FL5.0エッチングガラス,PT8+FGFL5(60),SSD-1
TP80,PT8,SSD-1
TP80,ﾛｽｶﾄﾞｱ,SSD-1
ТР10,PT10,SSD-1
透明強化ガラスt-8係散防止フィレム貼り),PT8,SSD-1
合せガラス(848)飛散防止フィルム貼,FL8+FL8(30),SSD-1
合せガラス(848)飛散防止フィルム貼,FL8+FL8(30),SSD-1
ドアエンジン停電時解錠人感センサー対応及び補助センサー付き衝突防止ツール:カッティングシート貼,PT8,SSD-1
ドアエンジン停電時解錠人感センサー対応及び補助センサー付き衝突防止ツール:カッティングシート貼,PT8,SSD-1
ドアエンジン停電時解錠人感センサー対応及び補助センサー付き衝突防止ツール:カッティングシート貼,PT8,SSD-1
ドアエンジン停電時解錠人感センサー対応及び補助センサー付き衝突防止ツール:カッティングシート貼,PT12,SSD-1
TP8.0,PT8,SSD-1
TPG10.0,PT10,SSD-1
TPG10.0,PT10,SSD-1
透明合わせガラスFL6+74+FL6,FL6+FL6(30),SSD-1
透明合わせガラスFL6+74+FL6,FL6+FL6(30),SSD-1
透明合せガラス05.0+05.O,FL5+FL5(30),SSD-1
透明合せガラス05.0+05.O,FL5+FL5(30),SSD-1
TP10.0,PT10,SSD-1
TP10.0,PT10,SSD-1
合わせガラス343,FR5+FL3(60),SSD-1
合わせガラス343,FR5+FL3(60),SSD-1
強化ガラス厚12mm,PT12,SSD-1
強化ガラス厚12mm,PT12,SSD-1
強化ガラスt=10mm,PT10,SSD-1
TP10.O制御盤付サイレント仕様内蔵オートロック式,PT10,SSD-2
TP10.O制御盤付サイレント仕様内蔵オートロック式,PT10,SSD-2
ТР8.0,PT8,SSD-2
ТР8.0,PT8,SSD-2
TP10,PT10,SSD-2
TP10,PT10,SSD-2
TP10,PT10,SSD-2
合せガラス(848)飛散防止フィルム貼,FL8+FL8(30),SSD-2
合せガラス(848)飛散防止フィルム貼,FL8+FL8(30),SSD-2
ドアエンジン停電時解錠人感センサー対応及び補助センサー付き衝突防止ツール:カッティングシート貼,PT8,SSD-2
ドアエンジン停電時解錠人感センサー対応及び補助センサー付き衝突防止ツール:カッティングシート貼,PT8,SSD-2
