x,y,sign
PW68,PW6.8,AD-1
FL6.0+A6.0+FL5.0(low-e),LowE5+A6+FL6,AD-1
FL6.0+A6.0+FL5.0(low-e),LowE5+A6+FL6,AD-1
複層ガラス:(外)網入透明ガラス0684A6+透明ガラス05.O17,PW6.8+A6+FL5,AD-1
強化ガラスt-8.0.12.0,PT8 強化ガラスドア t=12,AD-101
強化ガラスt-8.0.12.0,PT8 強化ガラスドア t=12,AD-101
強化ガラスt-8.O12.0,PT8 強化ガラスドア t=12,AD-102
強化ガラスt-8.O12.0,PT8 強化ガラスドア t=12,AD-102
強化ガラスt-8.O12.0,PT8 強化ガラスドア t=12,AD-102
強化ガラスt-8.O12.0,PT8 強化ガラスドア t=12,AD-102
Low-E6.0+A6+FL5.O,LowE6+A6+FL5,AW-1
Low-E60+A6+FR5.0,LowE6+A6+FR5,AW-1
FL6.0IF寮室は防犯ガラス,FL6,AW-1
SL-P6+A6+P5,FL6+A6+FL5,AW-1
Low-E5.0+A6+FL6.0,LowE5+A6+FL6,AW-1
複層ガラス:(外)透明ガラス06.0+A6+(内)透明ガラス05.O,FL6+A6+FL5,AW-1
耐熱強化ペアガラス透明(FL8-RE10+FR5),LowE8+Re10+FR5,AW-1
耐熱強化ペアガラス透明(FL8-RE10+FR5),LowE8+Re10+FR5,AW-1
耐熱強化ペアガラス透明(FL8-RE10+FR5),LowE8+Re10+FR5,AW-1
複層ガラス(網入)6846A+5,PW6.8+A6+FL5,AW-1
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-2
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-2
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-2
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-2
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-2
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-2
PW6.8,PW6.8,AW-2
Low-E5.0+A6+FL6.0,LowE5+A6+FL6,AW-2
Low-E5.0+A6+FL6.0,LowE5+A6+FL6,AW-2
複層ガラス:(外)透明ガラス06.0-A6+(A)合せガラス(透明03.0+透明03.OΠ-1類中間膜30miL),FL6+A6+(FL3+FL3)(30),AW-2
LowE5.0+A6+FR5.0,LowE6+A6+FR5,AW-2
ペアガラス透明(FL8+RE10-FL5),LowE5+Re10+FL8,AW-2
ペアガラス透明(FL8+RE10-FL5),LowE5+Re10+FL8,AW-2
ペアガラス透明(FL8+RE10-FL5),LowE5+Re10+FL8,AW-2
複層ガラス68+6A+3,PW6.8+A6+FL3,AW-2
透明t6.0+Airt7.0+透明t5.0,FL6+A6+FL5,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE6+A6+FR5,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE5+A6+（FL3+FR5）,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE5+A6+（FL3+FR5）,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE6+A6+FR5,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE5+A6+（FL3+FR5）,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE5+A6+（FL3+FR5）,AW-2
耐熱強化ガラス+透明ガラス(5+A6+FL5),LowE5+A6+（FL3+FR5）,AW-2
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-3
Low-E6.0+A6+FL5.0,LowE6+A6+FL5,AW-3
PW6.8,PW6.8,AW-3
PW6.8,PW6.8,AW-3
Low-E5.0+A6+FL6.0,LowE5+A6+FL6,AW-3
複層ガラス:(外)透明ガラス06.0-A6+(内)透明ガラス05.0,FL6+A6+FL5,AW-3
複層ガラス(釞型)68+6A+3,FW6.8+A6+FL3,AW-3
透明t6.0+Airt7.0+透明t5.0,FL6+A6+FL5,AW-3
透明t6.0+Airt7.0+透明t5.0,FL6+A6+FL5,AW-3
透明t6.0+Airt7.0+透明t5.0,FL6+A6+FL5,AW-3
透明t6.0+Airt7.0+透明t5.0,FL6+A6+FL5,AW-3
透明t6.0+Airt7.0+透明t5.0,FL6+A6+FL5,AW-3
透明t6.0+Airt7.0+透明t5.0,FL8+A6+FL5,AW-3
網入透明t6.178,PW6.8,SD-G1
