x,y
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 特寸2.18㎡以下,透明フロート ６㍉
強化ｶﾞﾗｽ厚さ12.0mm 平面 6.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ (透明ﾌﾛｰﾄ) １２㍉
複層ｶﾞﾗｽLE6+A12+FL5 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
複層ｶﾞﾗｽLE6+A12+FL5 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
複層ｶﾞﾗｽLE6+A12+FL5 特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E6+A12+FL5
複層ｶﾞﾗｽLE8+A12+HS8 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E8+A12+HS8
複層ｶﾞﾗｽLE8+A12+HS8 特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E8+A12+HS8
複層ｶﾞﾗｽLE8+A12+HS8 特寸6.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E8+A12+HS8
複層ｶﾞﾗｽLE8+A12+FL8 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E8+A12+FL8
複層ｶﾞﾗｽLE8+A12+FL8 特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E8+A12+FL8
複層ｶﾞﾗｽLE8+A12+FL8 特寸6.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E8+A12+FL8
複層ｶﾞﾗｽ強化LE8+A12+TG8 特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E強化8+A12+強化8
複層ｶﾞﾗｽ強化LE8+A12+TG8 特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ Low-E強化8+A12+強化8
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 120×1800(HSD-101a),透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 900×295(SD-301),透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 1800×295(SD-303他),透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm 特寸2.18㎡以下,透明フロート ６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ10.0mm 特寸2.18㎡以下,透明フロート １０㍉
