x,y,guess,correct
透明ﾌﾛｰﾄ板ｶﾞﾗｽt=153556×2000,透明フロート１５㍉,透明フロート１５㍉,1
耐熱ガラスt8W1500×H2855,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)８㍉,1
フロート板ガラス厚8.04.45㎡以下,透明フロート８㍉,透明フロート８㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt8+A10+LowEt8,ｻﾝﾊﾞﾗﾝｽLow-E8+A10+FL8,ｻﾝﾊﾞﾗﾝｽLow-E8+A10+FL8,1
フロートガラスt=102.18㎡以下,透明フロート１０㍉,透明フロート１０㍉,1
耐熱強化ガラス厚6.5100×2000,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,ﾏｲﾎﾞｰｶ(透明ﾌﾛｰﾄ)６.５㍉,1
ﾌﾛｰﾄｶﾞﾗｽt52.18m2以下,透明フロート５㍉,透明フロート５㍉,1
姿見t=6,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
鏡t6W2241×H1700,サンミラー６㍉･･･壁面／洗面,サンミラー６㍉･･･壁面／洗面,1
化粧鏡t5.0W2368×H1000,サンミラー５㍉･･･壁面／洗面,サンミラー５㍉･･･壁面／洗面,1
複層ｶﾞﾗｽLowE5+A12+FL102.00m2以下,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL10,ｻﾝﾊﾞﾗﾝｽLow-E6+A12+FL10,1
複層ガラス厚24.04.00㎡以下FL10+A6+FL8,ﾍﾟｱｶﾞﾗｽFL10+A6+FL8,ﾍﾟｱｶﾞﾗｽFL10+A6+FL8,1
複層ｶﾞﾗｽLowE5+A12+FL5特寸4.0㎡以下,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL5,ｻﾝﾊﾞﾗﾝｽLow-E5+A12+FL5,1
ﾌﾛｰﾄ合せｶﾞﾗｽ厚さ12+12H900,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL12+FL12H900,ﾗﾐｾｰﾌｾｷｭﾘﾃｨｰ(30mil)FL12+FL12H900,1
大型鏡ｽﾃﾝﾚｽW2000×H2000,〈ｽﾃﾝﾚｽ製W2000×H20001枚〉,〈ｽﾃﾝﾚｽ製W2000×H20001枚〉,1
ﾌﾛｽﾄｶﾞﾗｽ厚さ4.0mm120×1800(SD-207他),型板ガラス４㍉,型板ガラス４㍉,1
複層ｶﾞﾗｽﾌﾛｰﾄt8+A12+ﾌﾛｰﾄt64.0m2以下,ﾍﾟｱｶﾞﾗｽFL6+A12+FL8,ﾍﾟｱｶﾞﾗｽFL6+A12+FL8,1
防護柵強化ガラスt=10W700×H500,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉（ｶﾞﾗｽのみ）,ﾃﾝﾊﾟﾗｲﾄ(透明ﾌﾛｰﾄ)１０㍉（ｶﾞﾗｽのみ）,1
