x,y
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm_特寸2.18㎡以下,透明フロート_６㍉
強化ｶﾞﾗｽ厚さ12.0mm_平面_6.00㎡以下,ﾃﾝﾊﾟﾗｲﾄ_(透明ﾌﾛｰﾄ)_１２㍉
複層ｶﾞﾗｽLE6+A12+FL5_特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E6+A12+FL5
複層ｶﾞﾗｽLE6+A12+FL5_特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E6+A12+FL5
複層ｶﾞﾗｽLE6+A12+FL5_特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E6+A12+FL5
複層ｶﾞﾗｽLE8+A12+HS8_特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E8+A12+HS8
複層ｶﾞﾗｽLE8+A12+HS8_特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E8+A12+HS8
複層ｶﾞﾗｽLE8+A12+HS8_特寸6.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E8+A12+HS8
複層ｶﾞﾗｽLE8+A12+FL8_特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E8+A12+FL8
複層ｶﾞﾗｽLE8+A12+FL8_特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E8+A12+FL8
複層ｶﾞﾗｽLE8+A12+FL8_特寸6.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E8+A12+FL8
複層ｶﾞﾗｽ強化LE8+A12+TG8_特寸2.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E強化8+A12+強化8
複層ｶﾞﾗｽ強化LE8+A12+TG8_特寸4.00㎡以下,ｻﾝﾊﾞﾗﾝｽ_Low-E強化8+A12+強化8
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm_120×1800(HSD-101a),透明フロート_６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm_900×295(SD-301),透明フロート_６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm_1800×295(SD-303他),透明フロート_６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ6.0mm_特寸2.18㎡以下,透明フロート_６㍉
ﾌﾛｰﾄ板ｶﾞﾗｽ厚さ10.0mm_特寸2.18㎡以下,透明フロート_１０㍉
